num_iter,leibniz_cput,leibniz_wallt,rectangles_cput,rectangles_wallt,leibniz_pi,rectangles_pi
214748364,0.545059,0.546854,2.382143,2.392598,3.141593,3.141593
429496729,1.087241,1.092350,4.737417,4.759931,3.141593,3.141593
644245094,1.618833,1.623158,7.027522,7.106492,3.141593,3.141593
858993458,2.113993,2.116258,9.019525,9.028071,3.141593,3.141593
1073741823,2.646515,2.648946,11.318118,11.331258,3.141593,3.141593
1288490188,3.193201,3.209038,13.569915,13.584941,3.141593,3.141593
1503238552,3.703039,3.706303,16.309309,16.416606,3.141593,3.141593
1717986917,4.657406,4.733802,19.359982,19.622575,3.141593,3.141593
1932735282,4.942364,4.993192,20.818868,20.933814,3.141593,3.141593
2147483647,5.475511,5.556853,23.174891,23.284316,3.141593,3.141593
